bin_left,bin_right,bin_center,reference_density,proposal_density,reweighted_density
23.5,24.0,23.75,0.17214655086896277,0.11385919971733946,0.17896840779350826
24.0,24.5,24.25,0.15269968863900366,0.08822100521155375,0.1565741765406654
24.5,25.0,24.75,0.1266896054067373,0.0660056532108471,0.1300173028675206
25.0,25.5,25.25,0.09839271485668755,0.04915643494390955,0.05603476071875775
25.5,26.0,25.75,0.07201903046089747,0.03796042752407031,0.07532027617510348
26.0,26.5,26.25,0.04894775663282123,0.028442717074463386,0.04896987695325956
26.5,27.0,26.75,0.03163770124064397,0.021552866354562317,0.029107043561112933
27.0,27.5,27.25,0.018906460500673603,0.020205812207402172,0.019101594091872995
27.5,28.0,27.75,0.01085163472523112,0.01702588110590937,0.010478877086696474
28.0,28.5,28.25,0.0058836188275802484,0.015987986926949915,0.005950867279826251
28.5,29.0,28.75,0.00322361031555301,0.014574684215175339,0.0032211342813530624
29.0,29.5,29.25,0.0019064061004995215,0.013625121455701793,0.00180365099613244
29.5,30.0,29.75,0.001245603985932755,0.012896387244943026,0.0012114252344894065
30.0,30.5,30.25,0.0010316033011305637,0.013470541471601448,0.0010412788239999322
30.5,31.0,30.75,0.0009264029644894863,0.012918470099814503,0.0009180106112194218
31.0,31.5,31.25,0.0009348029913695724,0.012984718664428938,0.0008938692344759324
31.5,32.0,31.75,0.0008896028467291095,0.01285222153520007,0.000871744038943047
32.0,32.5,32.25,0.0009360029952095847,0.01446426994081795,0.000967035046082863
32.5,33.0,32.75,0.0009512030438497403,0.013647204310573272,0.0008941136461220891
33.0,33.5,33.25,0.0009528030489697567,0.01486176132850455,0.0009514981434279814
33.5,34.0,33.75,0.0010272032870505185,0.015612578394134794,0.0009811320163580263
34.0,34.5,34.25,0.0010224032716904695,0.01707004681565233,0.0010666077158812894
34.5,35.0,34.75,0.001066803413770924,0.016297146895150605,0.0010314089357484533
35.0,35.5,35.25,0.0011172035750514403,0.016275064040279126,0.0010666104531381177
35.5,36.0,35.75,0.001291604133133226,0.018902923769984984,0.001315064605744346
36.0,36.5,36.25,0.0014812047398551674,0.019123752318699762,0.001443410067498821
36.5,37.0,36.75,0.0016812053798572156,0.020272060772016605,0.001688695745007831
37.0,37.5,37.25,0.0019548062553800174,0.019896652239201482,0.0018485251804180357
37.5,38.0,37.75,0.0023224074317037815,0.023209080469923152,0.002426938720758277
38.0,38.5,38.25,0.0027232087142678857,0.02393781468068192,0.0028170682171523675
38.5,39.0,38.75,0.003167210135072432,0.02532903453758502,0.0033456054673630543
39.0,39.5,39.25,0.0037360119552382566,0.026344845861672996,0.003908447350409197
39.5,40.0,39.75,0.004247213591083492,0.02561611165091423,0.004279953316735589
40.0,40.5,40.25,0.004733615147568472,0.026101934458086742,0.004903685891264424
40.5,41.0,40.75,0.005148016473652716,0.025240703118099107,0.005356118306483691
41.0,41.5,41.25,0.005352017126454805,0.022082854871477785,0.005285360080576606
41.5,42.0,41.75,0.005364017164854928,0.02144245208020493,0.0057823350465310034
42.0,42.5,42.25,0.005158416506932822,0.017600035332567793,0.00526017565380752
42.5,43.0,42.75,0.004899215677490168,0.015568412684391839,0.005070984697810646
43.0,43.5,43.25,0.004254413614123565,0.01265347584135677,0.00437404222037657
43.5,44.0,43.75,0.0034964111885158033,0.00907605335217737,0.0032266698546356324
44.0,44.5,44.25,0.002753208810268193,0.00836940199629008,0.0029327501756486593
44.5,45.0,44.75,0.0019600062720200703,0.00578570797632718,0.0018905396703921384
45.0,45.5,45.25,0.0013864044364941968,0.004791979507110679,0.0013615210519051413
45.5,46.0,45.75,0.0008784028108889949,0.0038644996025086124,0.0008721436930926894
46.0,46.5,46.25,0.0005200016640053249,0.0032461796661072346,0.0005414252001971861
46.5,47.0,46.75,0.0002688008601627525,0.0021641197774048227,0.00022416764820197853
47.0,47.5,47.25,0.00012760040832130663,0.0021199540676618673,0.00012851389125610111
47.5,48.0,47.75,6.600021120067584e-05,0.002075788357918912,6.543465235173083e-05
48.0,48.5,48.25,1.7600056320180223e-05,0.0014795512763890117,2.0272065778095226e-05
48.5,49.0,48.75,1.0800034560110592e-05,0.0012145570179312782,7.326810865823982e-06
49.0,49.5,49.25,8.00002560008192e-07,0.0014795512763890117,3.538348566368445e-06
49.5,50.0,49.75,1.200003840012288e-06,0.001324971292288667,1.379630486341423e-06
