bin_left,bin_right,bin_center,reference_density,proposal_density,reweighted_density
17.5,18.0,17.75,0.012533640107648344,0.015025822234302799,0.010879365899897502
18.0,18.5,18.25,0.018850860322753033,0.020983963033432997,0.018243923164529482
18.5,19.0,18.75,0.028162490119968384,0.026942103832563197,0.0270650974950477
19.0,19.5,19.25,0.040936930998179195,0.03803207393313401,0.042999861593108146
19.5,20.0,19.75,0.057600984323149834,0.04712150040771949,0.05891582779106185
20.0,20.5,20.25,0.07842505096016307,0.0577983147594455,0.07790533833945193
20.5,21.0,20.75,0.10222832713064682,0.07410709431910846,0.10525969386638183
21.0,21.5,21.25,0.12764040844930705,0.09004620820875238,0.13149892733779522
21.5,22.0,21.75,0.15191128611611557,0.1045066594183202,0.15227890544767506
22.0,22.5,22.25,0.1706717461495877,0.12094590921446045,0.1720129512447541
22.5,23.0,22.75,0.18163738123961998,0.12864365316662135,0.1815082404208409
23.0,23.5,23.25,0.18229778335290672,0.12383799945637401,0.18495864636396417
23.5,24.0,23.75,0.17214655086896277,0.10592008698015765,0.17462095304478306
24.0,24.5,24.25,0.15269968863900366,0.08493612394672466,0.1506638156457005
24.5,25.0,24.75,0.1266896054067373,0.07004077194889916,0.12815461584958407
25.0,25.5,25.25,0.09839271485668755,0.05336232671921718,0.09580609444741048
25.5,26.0,25.75,0.07201903046089747,0.043055178037510196,0.07101176372310171
26.0,26.5,26.25,0.04894775663282123,0.03320467518347377,0.04637256361613825
26.5,27.0,26.75,0.03163770124064397,0.027768415330252785,0.030200041263965242
27.0,27.5,27.25,0.018906460500673603,0.02326719217178581,0.018076120018033964
27.5,28.0,27.75,0.01085163472523112,0.020592552324001086,0.010541890688387266
28.0,28.5,28.25,0.0058836188275802484,0.01706985593911389,0.005407933189810427
28.5,29.0,28.75,0.00322361031555301,0.015721663495515084,0.003046149403017223
29.0,29.5,29.25,0.0019064061004995215,0.014264745854851862,0.0017573995962510331
29.5,30.0,29.75,0.001245603985932755,0.014003805381897255,0.0012501137686431656
30.0,30.5,30.25,0.0010316033011305637,0.012198967110627889,0.0009396514153898829
30.5,31.0,30.75,0.0009264029644894863,0.012568632780646915,0.0009295263837165185
31.0,31.5,31.25,0.0009348029913695724,0.011002989942919272,0.000820869955575369
31.5,32.0,31.75,0.0008896028467291095,0.011764066322370209,0.0008974029872549664
32.0,32.5,32.25,0.0009360029952095847,0.011590106007067138,0.0009014912444026611
32.5,33.0,32.75,0.0009512030438497403,0.011046480021745039,0.0008669707682008709
33.0,33.5,33.25,0.0009528030489697567,0.01143789073117695,0.0008983441686371337
33.5,34.0,33.75,0.0010272032870505185,0.01237292742593096,0.0009714389709140698
34.0,34.5,34.25,0.0010224032716904695,0.012481652622995379,0.0009855465696404341
34.5,35.0,34.75,0.001066803413770924,0.01330796412068497,0.0010700044326496633
35.0,35.5,35.25,0.0011172035750514403,0.013938570263658603,0.001160250071868378
35.5,36.0,35.75,0.001291604133133226,0.014069040500135906,0.0012338073389670762
36.0,36.5,36.25,0.0014812047398551674,0.015025822234302799,0.0014111855758355727
36.5,37.0,36.75,0.0016812053798572156,0.01598260396846969,0.0016263457707716385
37.0,37.5,37.25,0.0019548062553800174,0.016765425387333513,0.0018650349552786613
37.5,38.0,37.75,0.0023224074317037815,0.017439521609132917,0.0021201414898817973
38.0,38.5,38.25,0.0027232087142678857,0.02094047295460723,0.0027661435493389203
38.5,39.0,38.75,0.003167210135072432,0.023767328078282142,0.0033930609946357373
39.0,39.5,39.25,0.0037360119552382566,0.02524599075835825,0.003875685386292346
39.5,40.0,39.75,0.004247213591083492,0.025615656428377275,0.004213673018200943
40.0,40.5,40.25,0.004733615147568472,0.025985322098396303,0.004612118911782184
40.5,41.0,40.75,0.005148016473652716,0.028268551236749116,0.00547514794191734
41.0,41.5,41.25,0.005352017126454805,0.025441696113074206,0.005475655000112848
41.5,42.0,41.75,0.005364017164854928,0.023397662408263114,0.005633451382531984
42.0,42.5,42.25,0.005158416506932822,0.020222886653982062,0.005435725932935573
42.5,43.0,42.75,0.004899215677490168,0.015199782549605871,0.0044491595087500614
43.0,43.5,43.25,0.004254413614123565,0.013677629790703996,0.004190492761896273
43.5,44.0,43.75,0.0034964111885158033,0.012655612938298451,0.0038577308908530877
44.0,44.5,44.25,0.002753208810268193,0.00950258222343028,0.0027044010877464468
44.5,45.0,44.75,0.0019600062720200703,0.008415330252786082,0.0020683397664165142
45.0,45.5,45.25,0.0013864044364941968,0.006523511823865181,0.0012863789362829456
45.5,46.0,45.75,0.0008784028108889949,0.005827670562652895,0.0008405680450006356
46.0,46.5,46.25,0.0005200016640053249,0.00491437890731177,0.00048059930137522524
46.5,47.0,46.75,0.0002688008601627525,0.004392497961402555,0.00027152399257663435
47.0,47.5,47.25,0.00012760040832130663,0.0042185376460994834,0.00014343051074913794
47.5,48.0,47.75,6.600021120067584e-05,0.003109540636042403,5.28084920904524e-05
48.0,48.5,48.25,1.7600056320180223e-05,0.002957325360152215,2.2087625550512666e-05
48.5,49.0,48.75,1.0800034560110592e-05,0.0030877955966295187,1.0364081097638961e-05
49.0,49.5,49.25,8.00002560008192e-07,0.002457189453655885,3.2607423187174945e-06
49.5,50.0,49.75,1.200003840012288e-06,0.0025224245718945366,1.434518953929299e-06
