psi,reference_free_energy_kj_mol,implicit_reference_free_energy_kj_mol,proposal_free_energy_kj_mol,reweighted_free_energy_kj_mol
-1.0892959452145514,10.900682782672426,10.112529071941388,5.6715264099242,7.318257878003541
-1.0577221497010862,10.326182324242541,9.56278298104845,5.44639271825417,7.006879515609677
-1.0261483541876206,9.767004367296114,9.020823232286935,5.220248304389254,6.705700030673858
-0.9945745586741555,9.226158295217585,8.48991297521375,4.994177926348794,6.414687731441804
-0.9630007631606903,8.705080808907445,7.972767288827407,4.769313676014408,6.133831462325832
-0.9314269676472251,8.204010707621121,7.471606884079779,4.546796750217203,5.863145298831411
-0.8998531721337599,7.722618695979079,6.988231557406692,4.327738073236194,5.6026707110669705
-0.8682793766202943,7.260663896596489,6.524056830674301,4.113183615629473,5.352476519271988
-0.8367055811068291,6.818440546929695,6.080105610345537,3.9040884865749605,5.112656999371074
-0.805131785593364,6.3968727834306085,5.65698996709169,3.701301783184557,4.883328518145076
-0.7735579900798988,5.9972785785444165,5.254935548753494,3.505562226586143,4.664625081070735
-0.7419841945664336,5.620965895289468,4.873884463261213,3.3175030942023795,4.456693159986617
-0.7104103990529684,5.268867564390414,4.513670469956262,3.1376639920561233,4.259686134491892
-0.6788366035395028,4.941359042736266,4.1742154696796625,2.9665065934311095,4.073758634605182
-0.6472628080260376,4.638290518169177,3.855674270303453,2.8044315187302997,3.8990610180732497
-0.6156890125125725,4.3591691526034015,3.558470233507932,2.651793930042679,3.7357341592866162
-0.5841152169991073,4.103387145967893,3.2832112715187565,2.5089160385515568,3.583904672807812
-0.5525414214856421,3.8704070950408314,3.0305282014420705,2.376095454225724,3.443680646628468
-0.5209676259721765,3.6598618460011845,2.80090670098915,2.253609038405145,3.3151479206454613
-0.4893938304587113,3.4715693808128325,2.5945761475179583,2.141712562654658,3.1983669153700105
-0.45782003494524615,3.3054846695303484,2.4114819837421377,2.040636967631688,3.0933699943560113
-0.42624623943178097,3.1616116467655027,2.2513261726942972,1.9505823180986075,3.0001593303000855
-0.3946724439183158,3.0398949215675395,2.1136355443294685,1.8717106581122087,2.9187052378420804
